============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Li(24 MeV) ==> Dead space+Tr. ROW 0+Tr.( 270. mm) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  197  3 .2324702E+08   2706000E+03  .2126E+07  .2507E+07   .9999991  .0009650  .0009312
T  198  3 .2329722E+08   2706000E+03 -.1936E+07  .1488E+07   .9999990  .0003352  .0013839
T  199  3 .2324935E+08   2706000E+03  .8336E+06 -.4819E+05   .9999993  .0008966  .0007620
T  200  3 .2323371E+08   2706000E+03  .1778E+07  .1353E+07   .9999991  .0012699  .0004033
T  201  3 .2330752E+08   2706000E+03 -.1157E+07  .2666E+07   .9999994 -.0010892  .0003075
T  202  3 .2326870E+08   2706000E+03  .1723E+07 -.5839E+06   .9999994  .0006358 -.0008863
T  203  3 .2327640E+08   2706000E+03  .1276E+07  .1518E+07   .9999993  .0011663  .0002514
T  204  3 .2322223E+08   2706000E+03  .5213E+06 -.4311E+06   .9999996  .0000488 -.0008514
T  205  3 .2328442E+08   2706000E+03  .4182E+07 -.5793E+07   .9999809  .0031763 -.0053014
T  206  3 .2327697E+08   2706000E+03  .6101E+06  .1249E+07   .9999994  .0006406  .0009150
T  207  3 .2325048E+08   2706000E+03 -.7163E+06 -.7331E+06   .9999994 -.0007889  .0007840
T  208  3 .2327190E+08   2706000E+03 -.3920E+07  .3489E+06   .9999997 -.0007101 -.0001214
T  209  3 .2333910E+08   2706000E+03 -.1028E+07 -.2311E+07   .9999993 -.0011684 -.0002144
T  210  3 .2331199E+08   2706000E+03  .1005E+07  .7875E+06   .9999997  .0005470 -.0005091
T  211  3 .2330194E+08   2706000E+03  .2145E+07  .4750E+06   .9999966  .0022526  .0012968
T  212  3 .2326753E+08   2706000E+03 -.5744E+05 -.1320E+06   .9999999 -.0000081  .0001274
T  213  3 .2324279E+08   2706000E+03 -.1794E+07  .1177E+07   .9999979 -.0019377  .0006682
T  214  3 .2327393E+08   2706000E+03  .9883E+06 -.9541E+06   .9999991  .0001440 -.0013350
T  215  3 .2323708E+08   2706000E+03 -.1361E+07  .1145E+07   .9999993  .0006001  .0010615
T  216  3 .2327286E+08   2706000E+03  .3418E+07 -.2401E+07   .9999959  .0028618 -.0002801
T  217  3 .2330049E+08   2706000E+03 -.4538E+07 -.1508E+06   .9999992 -.0012461 -.0001307
T  218  3 .2328290E+08   2706000E+03  .7258E+06 -.1717E+07   .9999997  .0001182  .0008263
T  219  3 .2330590E+08   2706000E+03 -.9437E+06 -.1304E+07   .9999999 -.0002078  .0001349
T  220  3 .2330568E+08   2706000E+03 -.1848E+07 -.3353E+07   .9999988 -.0008924 -.0012899
T  221  3 .2325913E+08   2706000E+03 -.1507E+07 -.1267E+07   .9999987 -.0012915 -.0009716
T  222  3 .2330928E+08   2706000E+03  .4159E+06 -.1895E+07   .9999979 -.0002161 -.0020581
T  223  3 .2328811E+08   2706000E+03  .2191E+07 -.2628E+07   .9999988  .0005253 -.0014606
T  224  3 .2327258E+08   2706000E+03  .2093E+06  .2872E+07   .9999977  .0010406  .0018790
T  225  3 .2330762E+08   2706000E+03 -.3881E+07 -.2353E+06   .9999984 -.0017863 -.0002365
T  226  3 .2329717E+08   2706000E+03 -.1893E+07 -.1301E+06   .9999987 -.0013841 -.0007907
T  227  3 .2325325E+08   2706000E+03 -.1437E+07  .2075E+06   .9999999 -.0001533  .0000700
T  228  3 .2329876E+08   2706000E+03  .2701E+07 -.1657E+07   .9999984  .0015653 -.0009025
T  229  3 .2328046E+08   2706000E+03 -.1862E+08  .2107E+07   .9999746 -.0069801  .0014755
T  230  3 .2333593E+08   2706000E+03  .1359E+07  .3094E+07   .9999961  .0021856  .0017275
T  231  3 .2329363E+08   2706000E+03  .2173E+07 -.9372E+06   .9999980  .0018450 -.0007468
T  232  3 .2326554E+08   2706000E+03 -.2780E+07  .3307E+07   .9999934 -.0017366  .0032029
T  233  3 .2329699E+08   2706000E+03 -.6115E+07  .2553E+07   .9999790 -.0060612  .0023112
T  234  3 .2324674E+08   2706000E+03  .1402E+07  .2108E+07   .9999945  .0026748  .0019376
T  235  3 .2330516E+08   2706000E+03 -.4552E+06  .1359E+07   .9999975 -.0001258 -.0022266
T  236  3 .2324309E+08   2706000E+03  .2798E+07  .1598E+07   .9999978  .0018457  .0009839
T  237  3 .2327345E+08   2706000E+03 -.3298E+07 -.8422E+05   .9999972 -.0023821 -.0000960
T  238  3 .2328969E+08   2706000E+03  .2086E+07  .1672E+07   .9999992  .0009229  .0008063
T  239  3 .2330069E+08   2706000E+03 -.7626E+04  .5426E+06   .9999997 -.0004986  .0005467
T  240  3 .2329543E+08   2706000E+03 -.4830E+06  .4401E+07   .9999951 -.0007341  .0030582
T  241  3 .2326425E+08   2706000E+03  .9517E+06  .6915E+06   .9999963  .0023113 -.0014510
T  242  3 .2324035E+08   2706000E+03  .7460E+05  .1235E+07   .9999997 -.0005433  .0005769
T  243  3 .2330211E+08   2706000E+03  .8788E+06  .4890E+06   .9999991  .0013152 -.0001249
T  244  3 .2332579E+08   2706000E+03  .1868E+07  .8097E+07   .9999941  .0002943  .0034082
T  245  3 .2331044E+08   2706000E+03 -.4682E+06 -.1923E+06   .9999999  .0000148 -.0003400
