************ Run 215_4He - pearson coefficient ***********
Evt. 20724   P.coefficient (R): 0.995829
Evt. 20872   P.coefficient (R): 0.983764
Evt. 20914   P.coefficient (R): 0.995423
Evt. 20917   P.coefficient (R): 0.369205
Evt. 20970   P.coefficient (R): 0.99332
Evt. 21005   P.coefficient (R): 0.991065
Evt. 21168   P.coefficient (R): 0.993861
Evt. 21170   P.coefficient (R): 0.934131
Evt. 21209   P.coefficient (R): 0.942809
Evt. 21213   P.coefficient (R): 0.986929
Evt. 21228   P.coefficient (R): 0.805555
Evt. 21237   P.coefficient (R): 0.9947
Evt. 21304   P.coefficient (R): 0.995128
Evt. 21451   P.coefficient (R): 0.969997
Evt. 21512   P.coefficient (R): 0.989803
Evt. 21877   P.coefficient (R): 0.993383
Evt. 21902   P.coefficient (R): 0.990708
Evt. 21946   P.coefficient (R): 0.993666
Evt. 22161   P.coefficient (R): -0.242952
Evt. 22253   P.coefficient (R): 0.902641
Evt. 22358   P.coefficient (R): 0.81849
Evt. 22389   P.coefficient (R): 0.996486
Evt. 22513   P.coefficient (R): 0.984634
Evt. 22522   P.coefficient (R): 0.995701
Evt. 22724   P.coefficient (R): 0.777216
Evt. 22808   P.coefficient (R): 0.978764
Evt. 23234   P.coefficient (R): 0.990963
Evt. 23326   P.coefficient (R): 0.995686
Evt. 23342   P.coefficient (R): 0.995144
Evt. 23450   P.coefficient (R): 0.896173
Evt. 23465   P.coefficient (R): 0.990728
Evt. 23641   P.coefficient (R): 0.995572
Evt. 23689   P.coefficient (R): 0.945363
Evt. 23716   P.coefficient (R): 0.995876
Evt. 23730   P.coefficient (R): 0.966507
Evt. 23854   P.coefficient (R): 0.990191
Evt. 23871   P.coefficient (R): 0.973806
Evt. 23905   P.coefficient (R): 0.993498
Evt. 24030   P.coefficient (R): 0.99583
Evt. 24074   P.coefficient (R): 0.99319
Evt. 24087   P.coefficient (R): 0.956238
Evt. 24104   P.coefficient (R): 0.991068
Evt. 24161   P.coefficient (R): 0.97283
Evt. 24240   P.coefficient (R): 0.995708
Evt. 24281   P.coefficient (R): 0.992378
Evt. 24342   P.coefficient (R): 0.992663
Evt. 24529   P.coefficient (R): 0.991955
Evt. 24634   P.coefficient (R): 0.993072
Evt. 24734   P.coefficient (R): 0.995965
Evt. 24796   P.coefficient (R): 0.995638
Evt. 25020   P.coefficient (R): 0.990211
Evt. 25109   P.coefficient (R): 0.98795
Evt. 25188   P.coefficient (R): 0.920249
Evt. 25189   P.coefficient (R): 0.99321
Evt. 25198   P.coefficient (R): 0.996107
Evt. 25248   P.coefficient (R): 0.99078
Evt. 25611   P.coefficient (R): 0.782776
Evt. 25650   P.coefficient (R): 0.988482
Evt. 25674   P.coefficient (R): 0.993873
Evt. 25704   P.coefficient (R): 0.996108
Evt. 25756   P.coefficient (R): 0.811973
Evt. 25873   P.coefficient (R): 0.994948
Evt. 26181   P.coefficient (R): 0.99042
Evt. 26251   P.coefficient (R): 0.994917
Evt. 26291   P.coefficient (R): 0.950668
Evt. 26394   P.coefficient (R): 0.995103
Evt. 26407   P.coefficient (R): 0.993428
Evt. 26545   P.coefficient (R): 0.986003
Evt. 26604   P.coefficient (R): 0.99306
Evt. 26614   P.coefficient (R): 0.990544
Evt. 26832   P.coefficient (R): 0.994478
Evt. 26987   P.coefficient (R): 0.982595
Evt. 27102   P.coefficient (R): 0.989872
Evt. 27122   P.coefficient (R): 0.99501
Evt. 27254   P.coefficient (R): 0.986505
Evt. 27289   P.coefficient (R): 0.995849
Evt. 27403   P.coefficient (R): 0.990817
Evt. 27607   P.coefficient (R): 0.991575
Evt. 27608   P.coefficient (R): 0.991751
Evt. 27743   P.coefficient (R): 0.992701
Evt. 27762   P.coefficient (R): 0.994588
Evt. 27848   P.coefficient (R): 0.994111
Evt. 27853   P.coefficient (R): 0.99441
Evt. 27903   P.coefficient (R): 0.992437
Evt. 28137   P.coefficient (R): 0.987741
Evt. 28180   P.coefficient (R): 0.994033
Evt. 28310   P.coefficient (R): 0.994352
Evt. 28434   P.coefficient (R): 0.305431
Evt. 28447   P.coefficient (R): 0.983051
Evt. 28555   P.coefficient (R): 0.994708
Evt. 28608   P.coefficient (R): 0.994645
Evt. 28658   P.coefficient (R): 0.875973
Evt. 28683   P.coefficient (R): 0.990611
Evt. 28685   P.coefficient (R): 0.996181
Evt. 28908   P.coefficient (R): 0.993406
Evt. 28921   P.coefficient (R): 0.990229
Evt. 28928   P.coefficient (R): 0.993259
Evt. 28947   P.coefficient (R): 0.994616
Evt. 28956   P.coefficient (R): 0.993744
Evt. 28973   P.coefficient (R): 0.992188
Evt. 29002   P.coefficient (R): 0.985328
Evt. 29053   P.coefficient (R): 0.992289
Evt. 29087   P.coefficient (R): 0.996166
Evt. 29305   P.coefficient (R): 0.978613
Evt. 29381   P.coefficient (R): 0.990685
Evt. 29503   P.coefficient (R): 0.992705
Evt. 29599   P.coefficient (R): 0.993504
Evt. 29600   P.coefficient (R): 0.384957
Evt. 29667   P.coefficient (R): 0.988521
Evt. 29785   P.coefficient (R): 0.720063
Evt. 29859   P.coefficient (R): 0.993505
Evt. 29919   P.coefficient (R): 0.988795
Evt. 30014   P.coefficient (R): 0.988166
Evt. 30104   P.coefficient (R): 0.991123
Evt. 30116   P.coefficient (R): 0.98767
Evt. 30140   P.coefficient (R): 0.869607
Evt. 30169   P.coefficient (R): 0.992736
Evt. 30202   P.coefficient (R): 0.993192
Evt. 30452   P.coefficient (R): 0.985082
Evt. 30480   P.coefficient (R): 0.994695
Evt. 30535   P.coefficient (R): 0.991557
Evt. 30728   P.coefficient (R): 0.994663
Evt. 30780   P.coefficient (R): 0.994369
Evt. 30866   P.coefficient (R): 0.989518
Evt. 30972   P.coefficient (R): 0.992833
Evt. 30985   P.coefficient (R): 0.995094
Evt. 31038   P.coefficient (R): 0.990574
Evt. 31128   P.coefficient (R): 0.963887
Evt. 31164   P.coefficient (R): 0.990495
Evt. 31222   P.coefficient (R): 0.99416
Evt. 31273   P.coefficient (R): 0.876614
Evt. 31296   P.coefficient (R): 0.993348
Evt. 31340   P.coefficient (R): 0.992858
Evt. 31374   P.coefficient (R): 0.992446
Evt. 31398   P.coefficient (R): 0.941144
Evt. 31423   P.coefficient (R): 0.98511
Evt. 31455   P.coefficient (R): 0.99236
Evt. 31489   P.coefficient (R): 0.995299
Evt. 31536   P.coefficient (R): 0.662026
Evt. 31541   P.coefficient (R): 0.994683
Evt. 31599   P.coefficient (R): 0.99435
Evt. 31727   P.coefficient (R): 0.9906
Evt. 31731   P.coefficient (R): 0.991603
Evt. 32207   P.coefficient (R): 0.960532
Evt. 32327   P.coefficient (R): 0.912976
Evt. 32386   P.coefficient (R): 0.994582
Evt. 32441   P.coefficient (R): 0.99058
Evt. 32737   P.coefficient (R): 0.994496
Evt. 32740   P.coefficient (R): 0.991324
Evt. 32956   P.coefficient (R): 0.994637
Evt. 32990   P.coefficient (R): 0.990295
Evt. 33014   P.coefficient (R): 0.991192
Evt. 33033   P.coefficient (R): 0.995137
Evt. 33237   P.coefficient (R): 0.987421
Evt. 33251   P.coefficient (R): 0.989155
Evt. 33254   P.coefficient (R): 0.994783
Evt. 33328   P.coefficient (R): 0.99384
Evt. 33348   P.coefficient (R): 0.990658
Evt. 33410   P.coefficient (R): 0.994808
Evt. 33453   P.coefficient (R): 0.9941
Evt. 33479   P.coefficient (R): 0.964843
Evt. 33792   P.coefficient (R): 0.986535
Evt. 33952   P.coefficient (R): 0.98523
Evt. 33963   P.coefficient (R): 0.989418
Evt. 34056   P.coefficient (R): 0.797656
Evt. 34109   P.coefficient (R): 0.989915
Evt. 34157   P.coefficient (R): 0.992681
Evt. 34171   P.coefficient (R): 0.989872
Evt. 34237   P.coefficient (R): 0.99287
Evt. 34545   P.coefficient (R): 0.993046
Evt. 34553   P.coefficient (R): 0.992115
Evt. 34569   P.coefficient (R): 0.958698
Evt. 34573   P.coefficient (R): 0.990698
Evt. 34578   P.coefficient (R): 0.994972
Evt. 34816   P.coefficient (R): 0.953021
Evt. 34873   P.coefficient (R): 0.994467
Evt. 35009   P.coefficient (R): 0.590049
Evt. 35258   P.coefficient (R): 0.992854
Evt. 35375   P.coefficient (R): 0.994665
Evt. 35406   P.coefficient (R): 0.994214
Evt. 35420   P.coefficient (R): 0.994738
Evt. 35459   P.coefficient (R): 0.667477
Evt. 35460   P.coefficient (R): 0.99418
Evt. 35503   P.coefficient (R): 0.995613
Evt. 35669   P.coefficient (R): 0.992669
Evt. 35699   P.coefficient (R): 0.994845
Evt. 35802   P.coefficient (R): 0.526901
Evt. 35906   P.coefficient (R): 0.994537
Evt. 35971   P.coefficient (R): 0.983172
Evt. 35999   P.coefficient (R): 0.993654
Evt. 36150   P.coefficient (R): 0.99468
Evt. 36171   P.coefficient (R): 0.994264
Evt. 36362   P.coefficient (R): 0.987074
Evt. 36431   P.coefficient (R): 0.680219
Evt. 36442   P.coefficient (R): 0.745443
Evt. 36711   P.coefficient (R): 0.931625
Evt. 36735   P.coefficient (R): 0.98858
Evt. 36781   P.coefficient (R): 0.990756
Evt. 36784   P.coefficient (R): 0.99036
Evt. 36874   P.coefficient (R): 0.994298
Evt. 36992   P.coefficient (R): 0.994158
Evt. 37113   P.coefficient (R): 0.986728
Evt. 37146   P.coefficient (R): 0.993375
Evt. 37237   P.coefficient (R): 0.991487
Evt. 37252   P.coefficient (R): 0.967945
Evt. 37312   P.coefficient (R): 0.994858
Evt. 37380   P.coefficient (R): 0.994407
Evt. 37504   P.coefficient (R): 0.994528
Evt. 37756   P.coefficient (R): 0.991342
Evt. 37787   P.coefficient (R): 0.993806
Evt. 37792   P.coefficient (R): 0.521037
Evt. 37813   P.coefficient (R): 0.995481
Evt. 37823   P.coefficient (R): 0.994722
Evt. 37869   P.coefficient (R): 0.969626
Evt. 38065   P.coefficient (R): 0.990422
Evt. 38093   P.coefficient (R): 0.988162
Evt. 38139   P.coefficient (R): 0.987256
Evt. 38185   P.coefficient (R): 0.989631
Evt. 38225   P.coefficient (R): 0.738665
Evt. 38227   P.coefficient (R): 0.991865
Evt. 38264   P.coefficient (R): 0.813141
Evt. 38283   P.coefficient (R): 0.992066
Evt. 38295   P.coefficient (R): 0.993137
Evt. 38353   P.coefficient (R): 0.352781
Evt. 38376   P.coefficient (R): 0.995342
Evt. 38426   P.coefficient (R): 0.996188
Evt. 38461   P.coefficient (R): 0.988896
Evt. 38502   P.coefficient (R): 0.995414
Evt. 38669   P.coefficient (R): 0.994171
Evt. 38733   P.coefficient (R): 0.995978
Evt. 38772   P.coefficient (R): 0.995491
