************ Run 298_7Li - pearson coefficient ***********
Evt. 491   P.coefficient (R): 0.992269
Evt. 492   P.coefficient (R): 0.990999
Evt. 493   P.coefficient (R): 0.988059
Evt. 494   P.coefficient (R): 0.990552
Evt. 495   P.coefficient (R): 0.99317
Evt. 496   P.coefficient (R): 0.991522
Evt. 497   P.coefficient (R): 0.99272
Evt. 498   P.coefficient (R): 0.991441
Evt. 499   P.coefficient (R): 0.992884
Evt. 500   P.coefficient (R): 0.991319
Evt. 501   P.coefficient (R): 0.992266
Evt. 502   P.coefficient (R): 0.992119
Evt. 503   P.coefficient (R): 0.991895
Evt. 504   P.coefficient (R): 0.991921
Evt. 505   P.coefficient (R): 0.992334
Evt. 506   P.coefficient (R): 0.99153
Evt. 507   P.coefficient (R): 0.989112
Evt. 508   P.coefficient (R): 0.992286
Evt. 509   P.coefficient (R): 0.991996
Evt. 510   P.coefficient (R): 0.991605
Evt. 511   P.coefficient (R): 0.992021
Evt. 512   P.coefficient (R): 0.991877
Evt. 513   P.coefficient (R): 0.991691
Evt. 514   P.coefficient (R): 0.993265
Evt. 515   P.coefficient (R): 0.992384
Evt. 516   P.coefficient (R): 0.988773
Evt. 517   P.coefficient (R): 0.99165
Evt. 518   P.coefficient (R): 0.991325
Evt. 519   P.coefficient (R): 0.992455
Evt. 520   P.coefficient (R): 0.993085
Evt. 521   P.coefficient (R): 0.992435
Evt. 522   P.coefficient (R): 0.990932
Evt. 523   P.coefficient (R): 0.993288
Evt. 524   P.coefficient (R): 0.991037
Evt. 525   P.coefficient (R): 0.990852
Evt. 526   P.coefficient (R): 0.992094
Evt. 527   P.coefficient (R): 0.9937
Evt. 528   P.coefficient (R): 0.990265
Evt. 529   P.coefficient (R): 0.991901
Evt. 530   P.coefficient (R): 0.991067
Evt. 531   P.coefficient (R): 0.990894
Evt. 532   P.coefficient (R): 0.991774
Evt. 533   P.coefficient (R): 0.991765
Evt. 534   P.coefficient (R): 0.988654
Evt. 535   P.coefficient (R): 0.991759
Evt. 536   P.coefficient (R): 0.992114
Evt. 537   P.coefficient (R): 0.992933
Evt. 538   P.coefficient (R): 0.993105
Evt. 539   P.coefficient (R): 0.991246
Evt. 540   P.coefficient (R): 0.985221
Evt. 541   P.coefficient (R): 0.99146
Evt. 542   P.coefficient (R): 0.988591
Evt. 543   P.coefficient (R): 0.986069
