************ Run 202_12C - pearson coefficient ***********
Evt. 260   P.coefficient (R): 0.993786
Evt. 261   P.coefficient (R): 0.993229
Evt. 262   P.coefficient (R): 0.994044
Evt. 263   P.coefficient (R): 0.993215
Evt. 264   P.coefficient (R): 0.993652
Evt. 265   P.coefficient (R): 0.993201
Evt. 266   P.coefficient (R): 0.993592
Evt. 267   P.coefficient (R): 0.994126
Evt. 268   P.coefficient (R): 0.993866
Evt. 269   P.coefficient (R): 0.994371
Evt. 270   P.coefficient (R): 0.993476
Evt. 271   P.coefficient (R): 0.994213
Evt. 272   P.coefficient (R): 0.993672
Evt. 273   P.coefficient (R): 0.993714
Evt. 274   P.coefficient (R): 0.993942
Evt. 275   P.coefficient (R): 0.993924
Evt. 276   P.coefficient (R): 0.993084
Evt. 277   P.coefficient (R): 0.99404
Evt. 278   P.coefficient (R): 0.993815
Evt. 279   P.coefficient (R): 0.993975
Evt. 280   P.coefficient (R): 0.993449
Evt. 281   P.coefficient (R): 0.993841
Evt. 282   P.coefficient (R): 0.993686
Evt. 283   P.coefficient (R): 0.993247
Evt. 284   P.coefficient (R): 0.99409
Evt. 285   P.coefficient (R): 0.993909
Evt. 286   P.coefficient (R): 0.993774
Evt. 287   P.coefficient (R): 0.99369
Evt. 288   P.coefficient (R): 0.993715
Evt. 289   P.coefficient (R): 0.993301
Evt. 290   P.coefficient (R): 0.993714
Evt. 291   P.coefficient (R): 0.994103
Evt. 292   P.coefficient (R): 0.98773
Evt. 293   P.coefficient (R): 0.993923
Evt. 294   P.coefficient (R): 0.993537
Evt. 295   P.coefficient (R): 0.993586
Evt. 296   P.coefficient (R): 0.993896
Evt. 297   P.coefficient (R): 0.992991
Evt. 298   P.coefficient (R): 0.993976
Evt. 299   P.coefficient (R): 0.993689
Evt. 300   P.coefficient (R): 0.993786
Evt. 301   P.coefficient (R): 0.993852
Evt. 302   P.coefficient (R): 0.994041
Evt. 303   P.coefficient (R): 0.994051
Evt. 304   P.coefficient (R): 0.993908
Evt. 305   P.coefficient (R): 0.993884
Evt. 306   P.coefficient (R): 0.994086
Evt. 307   P.coefficient (R): 0.99443
Evt. 308   P.coefficient (R): 0.993808
Evt. 309   P.coefficient (R): 0.993607
Evt. 310   P.coefficient (R): 0.993858
Evt. 311   P.coefficient (R): 0.993908
Evt. 312   P.coefficient (R): 0.994202
Evt. 313   P.coefficient (R): 0.993332
Evt. 314   P.coefficient (R): 0.993715
Evt. 315   P.coefficient (R): 0.994084
Evt. 316   P.coefficient (R): 0.993664
Evt. 317   P.coefficient (R): 0.993341
Evt. 318   P.coefficient (R): 0.993796
Evt. 319   P.coefficient (R): 0.993551
Evt. 320   P.coefficient (R): 0.99357
Evt. 321   P.coefficient (R): 0.993584
Evt. 322   P.coefficient (R): 0.993776
Evt. 323   P.coefficient (R): 0.993914
Evt. 324   P.coefficient (R): 0.993428
Evt. 325   P.coefficient (R): 0.993615
Evt. 326   P.coefficient (R): 0.993641
Evt. 327   P.coefficient (R): 0.993617
Evt. 328   P.coefficient (R): 0.993818
Evt. 329   P.coefficient (R): 0.99412
Evt. 330   P.coefficient (R): 0.993703
Evt. 331   P.coefficient (R): 0.993418
Evt. 332   P.coefficient (R): 0.993236
Evt. 333   P.coefficient (R): 0.993748
Evt. 334   P.coefficient (R): 0.993466
Evt. 335   P.coefficient (R): 0.993656
Evt. 336   P.coefficient (R): 0.99407
Evt. 337   P.coefficient (R): 0.993755
Evt. 338   P.coefficient (R): 0.993548
Evt. 339   P.coefficient (R): 0.993532
Evt. 340   P.coefficient (R): 0.993684
Evt. 341   P.coefficient (R): 0.99374
Evt. 342   P.coefficient (R): 0.993624
Evt. 343   P.coefficient (R): 0.994069
Evt. 344   P.coefficient (R): 0.993284
Evt. 345   P.coefficient (R): 0.993387
Evt. 346   P.coefficient (R): 0.994154
Evt. 347   P.coefficient (R): 0.994034
Evt. 348   P.coefficient (R): 0.993911
Evt. 349   P.coefficient (R): 0.993482
Evt. 350   P.coefficient (R): 0.993298
Evt. 351   P.coefficient (R): 0.993504
Evt. 352   P.coefficient (R): 0.993923
Evt. 353   P.coefficient (R): 0.993645
Evt. 354   P.coefficient (R): 0.993479
Evt. 355   P.coefficient (R): 0.993363
Evt. 356   P.coefficient (R): 0.993845
Evt. 357   P.coefficient (R): 0.993886
Evt. 358   P.coefficient (R): 0.993682
Evt. 359   P.coefficient (R): 0.993537
Evt. 360   P.coefficient (R): 0.993664
Evt. 361   P.coefficient (R): 0.993392
Evt. 362   P.coefficient (R): 0.994248
Evt. 363   P.coefficient (R): 0.993706
Evt. 364   P.coefficient (R): 0.993466
Evt. 365   P.coefficient (R): 0.994213
Evt. 366   P.coefficient (R): 0.99382
Evt. 367   P.coefficient (R): 0.99399
Evt. 368   P.coefficient (R): 0.993937
Evt. 369   P.coefficient (R): 0.993615
Evt. 370   P.coefficient (R): 0.994237
Evt. 371   P.coefficient (R): 0.994102
Evt. 372   P.coefficient (R): 0.993865
Evt. 373   P.coefficient (R): 0.993241
Evt. 374   P.coefficient (R): 0.993716
Evt. 375   P.coefficient (R): 0.993866
Evt. 376   P.coefficient (R): 0.993489
Evt. 377   P.coefficient (R): 0.993725
Evt. 378   P.coefficient (R): 0.993665
Evt. 379   P.coefficient (R): 0.99363
Evt. 380   P.coefficient (R): 0.993856
Evt. 381   P.coefficient (R): 0.993375
Evt. 382   P.coefficient (R): 0.993429
Evt. 383   P.coefficient (R): 0.99366
Evt. 384   P.coefficient (R): 0.994397
Evt. 385   P.coefficient (R): 0.993975
Evt. 386   P.coefficient (R): 0.993292
Evt. 387   P.coefficient (R): 0.993519
Evt. 388   P.coefficient (R): 0.993852
Evt. 389   P.coefficient (R): 0.993629
Evt. 390   P.coefficient (R): 0.993417
Evt. 391   P.coefficient (R): 0.993553
Evt. 392   P.coefficient (R): 0.99359
Evt. 393   P.coefficient (R): 0.993914
Evt. 394   P.coefficient (R): 0.993594
Evt. 395   P.coefficient (R): 0.993787
Evt. 396   P.coefficient (R): 0.993517
Evt. 397   P.coefficient (R): 0.994279
Evt. 398   P.coefficient (R): 0.993554
Evt. 399   P.coefficient (R): 0.994035
Evt. 400   P.coefficient (R): 0.993738
Evt. 401   P.coefficient (R): 0.99314
Evt. 402   P.coefficient (R): 0.992279
Evt. 403   P.coefficient (R): 0.99331
Evt. 404   P.coefficient (R): 0.993337
Evt. 405   P.coefficient (R): 0.993919
Evt. 406   P.coefficient (R): 0.993724
Evt. 407   P.coefficient (R): 0.994195
Evt. 408   P.coefficient (R): 0.993483
Evt. 409   P.coefficient (R): 0.993835
Evt. 410   P.coefficient (R): 0.99374
Evt. 411   P.coefficient (R): 0.994081
Evt. 412   P.coefficient (R): 0.993664
Evt. 413   P.coefficient (R): 0.993825
Evt. 414   P.coefficient (R): 0.994038
Evt. 415   P.coefficient (R): 0.993552
Evt. 416   P.coefficient (R): 0.99362
Evt. 417   P.coefficient (R): 0.993415
Evt. 418   P.coefficient (R): 0.989421
Evt. 419   P.coefficient (R): 0.99383
Evt. 420   P.coefficient (R): 0.99427
Evt. 421   P.coefficient (R): 0.993323
Evt. 422   P.coefficient (R): 0.993527
Evt. 423   P.coefficient (R): 0.992667
Evt. 424   P.coefficient (R): 0.994426
Evt. 425   P.coefficient (R): 0.994305
Evt. 426   P.coefficient (R): 0.99351
Evt. 427   P.coefficient (R): 0.993805
Evt. 428   P.coefficient (R): 0.994005
Evt. 429   P.coefficient (R): 0.993659
Evt. 430   P.coefficient (R): 0.993634
Evt. 431   P.coefficient (R): 0.99366
Evt. 432   P.coefficient (R): 0.993783
Evt. 433   P.coefficient (R): 0.993559
Evt. 434   P.coefficient (R): 0.99404
Evt. 435   P.coefficient (R): 0.994279
Evt. 436   P.coefficient (R): 0.993788
Evt. 437   P.coefficient (R): 0.993315
Evt. 438   P.coefficient (R): 0.993757
Evt. 439   P.coefficient (R): 0.993683
Evt. 440   P.coefficient (R): 0.993902
Evt. 441   P.coefficient (R): 0.993507
Evt. 442   P.coefficient (R): 0.993424
Evt. 443   P.coefficient (R): 0.993597
Evt. 444   P.coefficient (R): 0.993747
Evt. 445   P.coefficient (R): 0.993655
Evt. 446   P.coefficient (R): 0.994156
Evt. 447   P.coefficient (R): 0.994066
Evt. 448   P.coefficient (R): 0.993969
Evt. 449   P.coefficient (R): 0.993876
Evt. 450   P.coefficient (R): 0.994026
Evt. 451   P.coefficient (R): 0.994166
Evt. 452   P.coefficient (R): 0.994171
Evt. 453   P.coefficient (R): 0.993671
Evt. 454   P.coefficient (R): 0.994037
Evt. 455   P.coefficient (R): 0.993812
Evt. 456   P.coefficient (R): 0.993725
Evt. 457   P.coefficient (R): 0.993771
Evt. 458   P.coefficient (R): 0.993895
Evt. 459   P.coefficient (R): 0.993425
Evt. 460   P.coefficient (R): 0.993491
Evt. 461   P.coefficient (R): 0.993459
Evt. 462   P.coefficient (R): 0.994102
Evt. 463   P.coefficient (R): 0.993938
Evt. 464   P.coefficient (R): 0.993413
Evt. 465   P.coefficient (R): 0.99334
Evt. 466   P.coefficient (R): 0.993627
Evt. 467   P.coefficient (R): 0.993671
Evt. 468   P.coefficient (R): 0.993868
Evt. 469   P.coefficient (R): 0.993623
Evt. 470   P.coefficient (R): 0.993867
Evt. 471   P.coefficient (R): 0.993393
Evt. 472   P.coefficient (R): 0.994031
Evt. 473   P.coefficient (R): 0.993908
Evt. 474   P.coefficient (R): 0.993887
Evt. 475   P.coefficient (R): 0.993667
Evt. 476   P.coefficient (R): 0.993875
Evt. 477   P.coefficient (R): 0.993927
Evt. 478   P.coefficient (R): 0.994181
Evt. 479   P.coefficient (R): 0.994146
Evt. 480   P.coefficient (R): 0.993544
Evt. 481   P.coefficient (R): 0.993894
Evt. 482   P.coefficient (R): 0.993695
Evt. 483   P.coefficient (R): 0.993882
Evt. 484   P.coefficient (R): 0.9944
Evt. 485   P.coefficient (R): 0.993706
Evt. 486   P.coefficient (R): 0.993699
Evt. 487   P.coefficient (R): 0.987186
Evt. 488   P.coefficient (R): 0.993683
Evt. 489   P.coefficient (R): 0.993284
Evt. 490   P.coefficient (R): 0.993607
Evt. 491   P.coefficient (R): 0.994053
Evt. 492   P.coefficient (R): 0.993575
Evt. 493   P.coefficient (R): 0.993901
Evt. 494   P.coefficient (R): 0.993441
Evt. 495   P.coefficient (R): 0.994213
Evt. 496   P.coefficient (R): 0.993399
Evt. 497   P.coefficient (R): 0.993394
Evt. 498   P.coefficient (R): 0.993854
Evt. 499   P.coefficient (R): 0.993687
Evt. 500   P.coefficient (R): 0.993887
Evt. 501   P.coefficient (R): 0.993337
Evt. 502   P.coefficient (R): 0.993568
Evt. 503   P.coefficient (R): 0.993485
Evt. 504   P.coefficient (R): 0.992947
Evt. 505   P.coefficient (R): 0.99366
Evt. 506   P.coefficient (R): 0.994285
Evt. 507   P.coefficient (R): 0.993772
Evt. 508   P.coefficient (R): 0.993597
Evt. 509   P.coefficient (R): 0.994191
Evt. 510   P.coefficient (R): 0.994001
Evt. 511   P.coefficient (R): 0.993918
Evt. 512   P.coefficient (R): 0.993322
Evt. 513   P.coefficient (R): 0.993248
Evt. 514   P.coefficient (R): 0.993984
Evt. 515   P.coefficient (R): 0.993834
Evt. 516   P.coefficient (R): 0.994014
Evt. 517   P.coefficient (R): 0.993585
Evt. 518   P.coefficient (R): 0.993967
Evt. 519   P.coefficient (R): 0.993928
Evt. 520   P.coefficient (R): 0.993709
Evt. 521   P.coefficient (R): 0.993912
Evt. 522   P.coefficient (R): 0.993682
Evt. 523   P.coefficient (R): 0.993895
Evt. 524   P.coefficient (R): 0.99365
Evt. 525   P.coefficient (R): 0.993877
Evt. 526   P.coefficient (R): 0.99353
Evt. 527   P.coefficient (R): 0.993986
Evt. 528   P.coefficient (R): 0.993669
Evt. 529   P.coefficient (R): 0.994257
Evt. 530   P.coefficient (R): 0.994247
Evt. 531   P.coefficient (R): 0.993114
Evt. 532   P.coefficient (R): 0.993932
Evt. 533   P.coefficient (R): 0.993627
Evt. 534   P.coefficient (R): 0.993606
Evt. 535   P.coefficient (R): 0.993653
Evt. 536   P.coefficient (R): 0.993907
Evt. 537   P.coefficient (R): 0.993316
Evt. 538   P.coefficient (R): 0.993703
Evt. 539   P.coefficient (R): 0.993621
Evt. 540   P.coefficient (R): 0.993712
Evt. 541   P.coefficient (R): 0.99303
Evt. 542   P.coefficient (R): 0.993732
Evt. 543   P.coefficient (R): 0.993823
Evt. 544   P.coefficient (R): 0.993225
Evt. 545   P.coefficient (R): 0.992726
Evt. 546   P.coefficient (R): 0.994171
Evt. 547   P.coefficient (R): 0.99414
Evt. 548   P.coefficient (R): 0.993826
Evt. 549   P.coefficient (R): 0.993023
Evt. 550   P.coefficient (R): 0.993024
Evt. 551   P.coefficient (R): 0.993413
Evt. 552   P.coefficient (R): 0.993926
Evt. 553   P.coefficient (R): 0.99368
Evt. 554   P.coefficient (R): 0.993486
Evt. 555   P.coefficient (R): 0.993372
Evt. 556   P.coefficient (R): 0.99315
Evt. 557   P.coefficient (R): 0.991657
Evt. 558   P.coefficient (R): 0.993794
Evt. 559   P.coefficient (R): 0.994173
Evt. 560   P.coefficient (R): 0.994124
Evt. 561   P.coefficient (R): 0.994109
Evt. 562   P.coefficient (R): 0.993514
Evt. 563   P.coefficient (R): 0.993965
Evt. 564   P.coefficient (R): 0.993789
Evt. 565   P.coefficient (R): 0.993911
Evt. 566   P.coefficient (R): 0.992533
Evt. 567   P.coefficient (R): 0.993496
Evt. 568   P.coefficient (R): 0.993398
Evt. 569   P.coefficient (R): 0.993772
Evt. 570   P.coefficient (R): 0.99436
Evt. 571   P.coefficient (R): 0.993848
Evt. 572   P.coefficient (R): 0.994048
Evt. 573   P.coefficient (R): 0.993521
Evt. 574   P.coefficient (R): 0.993907
Evt. 575   P.coefficient (R): 0.993574
Evt. 576   P.coefficient (R): 0.993504
Evt. 577   P.coefficient (R): 0.993346
Evt. 578   P.coefficient (R): 0.993641
Evt. 579   P.coefficient (R): 0.993683
Evt. 580   P.coefficient (R): 0.993345
Evt. 581   P.coefficient (R): 0.994168
Evt. 582   P.coefficient (R): 0.99325
Evt. 583   P.coefficient (R): 0.993792
Evt. 584   P.coefficient (R): 0.993276
Evt. 585   P.coefficient (R): 0.993827
Evt. 586   P.coefficient (R): 0.993539
Evt. 587   P.coefficient (R): 0.993573
Evt. 588   P.coefficient (R): 0.994052
Evt. 589   P.coefficient (R): 0.993841
Evt. 590   P.coefficient (R): 0.994364
Evt. 591   P.coefficient (R): 0.994243
Evt. 592   P.coefficient (R): 0.994234
Evt. 593   P.coefficient (R): 0.994063
Evt. 594   P.coefficient (R): 0.9938
Evt. 595   P.coefficient (R): 0.993704
Evt. 596   P.coefficient (R): 0.99333
Evt. 597   P.coefficient (R): 0.993593
Evt. 598   P.coefficient (R): 0.994112
Evt. 599   P.coefficient (R): 0.993709
Evt. 600   P.coefficient (R): 0.994032
Evt. 601   P.coefficient (R): 0.993814
Evt. 602   P.coefficient (R): 0.993592
Evt. 603   P.coefficient (R): 0.993716
Evt. 604   P.coefficient (R): 0.993638
Evt. 605   P.coefficient (R): 0.994036
Evt. 606   P.coefficient (R): 0.993917
Evt. 607   P.coefficient (R): 0.993573
Evt. 608   P.coefficient (R): 0.993909
Evt. 609   P.coefficient (R): 0.993798
Evt. 610   P.coefficient (R): 0.993279
Evt. 611   P.coefficient (R): 0.993503
Evt. 612   P.coefficient (R): 0.993646
Evt. 613   P.coefficient (R): 0.99357
Evt. 614   P.coefficient (R): 0.993871
Evt. 615   P.coefficient (R): 0.993732
Evt. 616   P.coefficient (R): 0.99396
Evt. 617   P.coefficient (R): 0.993929
Evt. 618   P.coefficient (R): 0.993732
Evt. 619   P.coefficient (R): 0.99363
Evt. 620   P.coefficient (R): 0.993435
Evt. 621   P.coefficient (R): 0.993672
Evt. 622   P.coefficient (R): 0.993554
Evt. 623   P.coefficient (R): 0.993339
Evt. 624   P.coefficient (R): 0.993728
Evt. 625   P.coefficient (R): 0.993414
Evt. 626   P.coefficient (R): 0.994221
Evt. 627   P.coefficient (R): 0.993931
Evt. 628   P.coefficient (R): 0.993885
Evt. 629   P.coefficient (R): 0.994476
Evt. 630   P.coefficient (R): 0.99413
Evt. 631   P.coefficient (R): 0.993253
Evt. 632   P.coefficient (R): 0.993333
