============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(64 MeV) ==> Au absorber+Ni4Si3 windo( 305. mm) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  105  8 .5762438E+08   3056018E+03  .3293E+07 -.1161E+08   .9999877  .0011427 -.0048257
T  106  8 .5761987E+08   3056018E+03  .4024E+07 -.4067E+07   .9999970  .0023785 -.0005053
T  107  8 .5754238E+08   3056018E+03  .8486E+07  .4582E+07   .9999966  .0016594  .0019976
T  108  8 .5755809E+08   3056018E+03  .2794E+07  .3434E+07   .9999923  .0039302  .0000311
T  109  8 .5749405E+08   3056018E+03  .3894E+06 -.1472E+08   .9999806  .0013717 -.0060769
T  110  8 .5737531E+08   3056018E+03 -.1285E+07 -.9827E+07   .9999951 -.0011600 -.0029082
T  111  8 .5760323E+08   3056018E+03 -.5942E+07 -.7355E+07   .9999976 -.0012765 -.0017954
T  112  8 .5746228E+08   3056018E+03  .7182E+07 -.8064E+07   .9999899  .0018311 -.0041088
T  113  8 .5748661E+08   3056018E+03  .4513E+07  .2528E+07   .9999976  .0012409  .0017982
T  114  8 .5749554E+08   3056018E+03  .5757E+06  .1656E+08   .9999755 -.0009444  .0069328
T  115  8 .5753482E+08   3056018E+03  .6471E+07  .2420E+07   .9999893  .0038438  .0025854
T  116  8 .5763520E+08   3056018E+03  .2401E+07  .4541E+07   .9999983  .0006427  .0017399
T  117  8 .5751820E+08   3056018E+03 -.3969E+07 -.2269E+07   .9999962 -.0021447 -.0017598
T  118  8 .5749845E+08   3056018E+03 -.3118E+07 -.2437E+07   .9999947 -.0021030 -.0024692
T  119  8 .5758762E+08   3056018E+03 -.1278E+08  .1099E+08   .9999718 -.0053143  .0053023
T  120  8 .5752344E+08   3056018E+03  .1379E+07 -.8196E+07   .9999826  .0040719 -.0042612
T  121  8 .5768077E+08   3056018E+03  .7225E+07  .1088E+07   .9999970  .0023624  .0007114
T  122  8 .5762861E+08   3056018E+03 -.1795E+08 -.1446E+08   .9999520 -.0071154 -.0067354
T  123  8 .5755089E+08   3056018E+03 -.3613E+07 -.2074E+07   .9999987 -.0015510 -.0005225
T  124  8 .5762084E+08   3056018E+03  .1740E+07 -.4387E+07   .9999999 -.0004438 -.0001490
T  125  8 .5751671E+08   3056018E+03  .4015E+07  .5279E+07   .9999989  .0005686  .0013949
T  126  8 .5749247E+08   3056018E+03 -.5742E+07 -.8221E+05   .9999943 -.0031960  .0010833
T  127  8 .5761279E+08   3056018E+03 -.1008E+08  .2658E+07   .9999790 -.0063756  .0011547
T  128  8 .5766137E+08   3056018E+03  .1023E+08  .5724E+07   .9999914  .0040850  .0006690
T  129  8 .5765073E+08   3056018E+03 -.2897E+07 -.6292E+07   .9999982 -.0012906 -.0013555
T  130  8 .5761693E+08   3056018E+03  .3321E+07  .3384E+06   .9999999  .0003915  .0003469
T  131  8 .5767396E+08   3056018E+03 -.2237E+07 -.2540E+07   .9999999  .0002239 -.0004956
T  132  8 .5759386E+08   3056018E+03 -.4780E+07  .2842E+07   .9999991 -.0009930  .0009040
T  133  8 .5765535E+08   3056018E+03  .2002E+08 -.8789E+07   .9999528  .0093223 -.0027362
T  134  8 .5770320E+08   3056018E+03 -.2128E+07  .4781E+06   .9999998 -.0000200 -.0005718
T  135  8 .5765279E+08   3056018E+03 -.1985E+08  .3955E+07   .9999743 -.0071367  .0006815
T  136  8 .5764261E+08   3056018E+03  .1813E+07  .1920E+07   .9999986  .0016802 -.0002762
T  137  8 .5735709E+08   3056018E+03 -.7987E+07  .4961E+07   .9999922 -.0033114  .0021587
T  138  8 .5765139E+08   3056018E+03 -.3602E+07  .3589E+07   .9999968 -.0017696  .0018023
T  139  8 .5755351E+08   3056018E+03 -.3601E+07 -.7793E+05   .9999991 -.0012997  .0002722
T  140  8 .5779812E+08   3056018E+03 -.1014E+07  .6875E+07   .9999956 -.0000656  .0029489
T  141  8 .5766476E+08   3056018E+03 -.2033E+07  .1478E+08   .9999814 -.0003888  .0060894
T  142  8 .5763334E+08   3056018E+03  .6204E+07 -.6976E+06   .9999969  .0024347  .0005145
T  143  8 .5762948E+08   3056018E+03 -.4457E+06 -.5806E+06   .9999975  .0019415  .0011261
T  144  8 .5761428E+08   3056018E+03  .1693E+08  .2791E+07   .9999846  .0049916  .0024282
T  145  8 .5754826E+08   3056018E+03  .7176E+07  .1295E+07   .9999900  .0044726 -.0002050
T  146  8 .5753747E+08   3056018E+03 -.8533E+07  .5019E+07   .9999958 -.0024771  .0015196
T  147  8 .5746748E+08   3056018E+03  .3246E+06 -.1707E+08   .9999804 -.0009909 -.0061775
T  148  8 .5751631E+08   3056018E+03 -.1370E+06 -.2752E+07   .9999996 -.0008434  .0002390
T  149  8 .5753699E+08   3056018E+03 -.4247E+07 -.4838E+07   .9999964 -.0018484 -.0019447
T  150  8 .5755199E+08   3056018E+03  .8535E+07 -.3535E+07   .9999869  .0046744 -.0021083
T  151  8 .5762401E+08   3056018E+03 -.2769E+07  .2740E+07   .9999995  .0006938  .0007472
T  152  8 .5757625E+08   3056018E+03  .9300E+07  .5063E+07   .9999953  .0028349  .0011482
T  153  8 .5754792E+08   3056018E+03  .5052E+07  .1867E+08   .9999639  .0000387  .0084945
T  154  8 .5760151E+08   3056018E+03 -.6757E+07 -.2004E+07   .9999936 -.0035661  .0003632
T  155  8 .5762929E+08   3056018E+03 -.2369E+08  .2419E+08   .9999322 -.0079998  .0084571
T  156  8 .5752080E+08   3056018E+03  .1003E+08  .5715E+07   .9999935  .0022691  .0027997
T  157  8 .5753702E+08   3056018E+03 -.1448E+08  .1402E+07   .9999816 -.0059735  .0010773
T  158  8 .5755035E+08   3056018E+03 -.2057E+07 -.5019E+07   .9999979  .0002719 -.0020482
T  159  8 .5765630E+08   3056018E+03  .2692E+07  .6288E+07   .9999943  .0013683  .0030810
T  160  8 .5750120E+08   3056018E+03 -.2706E+07 -.6856E+06   .9999967 -.0018913 -.0017327
T  161  8 .5768376E+08   3056018E+03  .5526E+07 -.5384E+07   .9999879  .0036135 -.0033248
T  162  8 .5761423E+08   3056018E+03  .5268E+06  .3277E+07   .9999986  .0006989  .0014928
T  163  8 .5753021E+08   3056018E+03  .3486E+07 -.1755E+08   .9999777  .0003198 -.0066681
T  164  8 .5759218E+08   3056018E+03 -.1579E+07  .3769E+07   .9999994 -.0003716  .0010664
T  165  8 .5760024E+08   3056018E+03  .2155E+08  .1093E+08   .9999594  .0083423  .0034210
T  166  8 .5761350E+08   3056018E+03 -.2329E+08  .6069E+07   .9999666 -.0081648  .0002266
T  167  8 .5774413E+08   3056018E+03 -.3180E+07  .1697E+07   .9999979 -.0020300  .0002833
T  168  8 .5774420E+08   3056018E+03  .1030E+08 -.4359E+07   .9999813  .0055931 -.0024584
T  169  8 .5746893E+08   3056018E+03 -.1068E+08  .2222E+07   .9999892 -.0046286 -.0003495
T  170  8 .5765453E+08   3056018E+03  .4784E+07 -.1426E+08   .9999793  .0029534 -.0057209
T  171  8 .5775168E+08   3056018E+03 -.3724E+07  .9140E+06   .9999999 -.0000012 -.0000276
T  172  8 .5754549E+08   3056018E+03 -.5109E+07  .2202E+07   .9999988 -.0014614  .0005712
T  173  8 .5769624E+08   3056018E+03  .6321E+07  .5350E+07   .9999826  .0048865  .0033042
T  174  8 .5758614E+08   3056018E+03 -.6306E+07  .4229E+07   .9999890 -.0043751  .0016881
T  175  8 .5759202E+08   3056018E+03 -.1003E+08 -.8761E+06   .9999877 -.0048976 -.0007717
T  176  8 .5763916E+08   3056018E+03 -.4860E+07 -.6566E+07   .9999959 -.0023068 -.0017164
T  177  8 .5759784E+08   3056018E+03 -.1709E+07  .8378E+07   .9999918  .0011586  .0038899
T  178  8 .5769148E+08   3056018E+03 -.3413E+07 -.1440E+07   .9999977 -.0003044 -.0021165
T  179  8 .5760912E+08   3056018E+03 -.1438E+08 -.2419E+07   .9999791 -.0063072 -.0014443
T  180  8 .5750427E+08   3056018E+03 -.1174E+08  .3690E+07   .9999927 -.0037588  .0006736
T  181  8 .5759399E+08   3056018E+03  .8211E+06  .8496E+07   .9999944 -.0000835  .0033412
T  182  8 .5762151E+08   3056018E+03  .3294E+08  .6575E+07   .9999222  .0118576  .0038712
T  183  8 .5754341E+08   3056018E+03 -.6671E+07  .4164E+07   .9999822 -.0046288  .0037712
T  184  8 .5762763E+08   3056018E+03  .2755E+07 -.6393E+06   .9999996  .0009003  .0001563
T  185  8 .5768867E+08   3056018E+03  .4545E+07 -.1049E+08   .9999968  .0015759 -.0019620
T  186  8 .5756208E+08   3056018E+03  .1427E+08 -.1157E+08   .9999831  .0048123 -.0032687
T  187  8 .5772275E+08   3056018E+03 -.5816E+04  .3832E+07   .9999985 -.0013997  .0010331
T  188  8 .5758113E+08   3056018E+03 -.2402E+07 -.1784E+07   .9999715 -.0031448 -.0068653
T  189  8 .5771592E+08   3056018E+03 -.2157E+08  .2680E+08   .9999399 -.0066695  .0087010
T  190  8 .5745068E+08   3056018E+03 -.7125E+07 -.1410E+08   .9999794 -.0030682 -.0056365
T  191  8 .5764921E+08   3056018E+03  .2324E+07 -.6780E+07   .9999983  .0009987 -.0015565
T  192  8 .5763713E+08   3056018E+03  .1535E+08  .2111E+08   .9999614  .0051689  .0071078
T  193  8 .5750485E+08   3056018E+03 -.2942E+07 -.9018E+06   .9999984 -.0017898 -.0002334
T  194  8 .5762605E+08   3056018E+03  .3646E+07  .2606E+07   .9999991  .0007969  .0010636
T  195  8 .5761879E+08   3056018E+03 -.2658E+07 -.1418E+06   .9999982 -.0018019  .0005502
T  196  8 .5752648E+08   3056018E+03  .1220E+07  .2181E+07   .9999999 -.0000276  .0004491
T  197  8 .5758337E+08   3056018E+03  .4719E+07  .9161E+07   .9999898  .0022056  .0039470
T  198  8 .5758812E+08   3056018E+03  .1224E+08 -.1345E+07   .9999937  .0033122  .0012959
T  199  8 .5752949E+08   3056018E+03  .4372E+04 -.5356E+07   .9999896  .0004180 -.0045411
T  200  8 .5751599E+08   3056018E+03 -.2499E+07  .9083E+07   .9999887 -.0004431  .0047319
