============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom. B= Backscattered Ion. T= Transmitted Ion.   =
=  Col.#2: Ion Number. Col.#3: Z of atom leaving. Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target. Y.Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Li(24 MeV) ==> Au absorber+Ni4Si3 windo( 145. mm) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   74  3 .2296344E+08   1456018E+03 -.4054E+07 -.8549E+07   .9999781 -.0022501 -.0062171
T   75  3 .2301076E+08   1456018E+03 -.5634E+07 -.9750E+07   .9999632 -.0038116 -.0076887
T   76  3 .2297537E+08   1456018E+03  .1160E+08 -.6657E+07   .9999381  .0093565 -.0060171
T   77  3 .2297019E+08   1456018E+03 -.8664E+07 -.1387E+08   .9999334 -.0061107 -.0097888
T   78  3 .2303314E+08   1456018E+03 -.1767E+06 -.2731E+08   .9998154 -.0002668 -.0192120
T   79  3 .2298033E+08   1456018E+03 -.2907E+07  .1237E+08   .9999597 -.0017438  .0088017
T   80  3 .2296138E+08   1456018E+03 -.7633E+07 -.2537E+08   .9999073 -.0046442 -.0127997
T   81  3 .2292993E+08   1456018E+03  .1515E+07 -.6936E+07   .9999903  .0012089 -.0042422
T   82  3 .2297406E+08   1456018E+03  .1133E+08  .7193E+07   .9999444  .0086811  .0059902
T   83  3 .2291957E+08   1456018E+03  .5158E+07 -.1061E+08   .9999671  .0042899 -.0068879
T   84  3 .2295353E+08   1456018E+03 -.9907E+07  .4994E+07   .9999700 -.0069987  .0033302
T   85  3 .2293525E+08   1456018E+03  .2886E+08  .1748E+08   .9997323  .0196320  .0122424
T   86  3 .2301125E+08   1456018E+03 -.7771E+07 -.2923E+06   .9999863 -.0052272 -.0002651
T   87  3 .2294365E+08   1456018E+03 -.1618E+08 -.1488E+08   .9998866 -.0115065 -.0097140
T   88  3 .2294073E+08   1456018E+03  .6338E+05  .2810E+07   .9999962  .0025151  .0010927
T   89  3 .2300322E+08   1456018E+03 -.2051E+07 -.1238E+08   .9999693 -.0009754 -.0077763
T   90  3 .2296764E+08   1456018E+03 -.1758E+07  .5160E+07   .9999977 -.0011313  .0018281
T   91  3 .2300357E+08   1456018E+03 -.6102E+06  .1220E+08   .9999637 -.0020031  .0082806
T   92  3 .2299417E+08   1456018E+03  .2662E+08  .8300E+07   .9998219  .0180043  .0056512
T   93  3 .2297620E+08   1456018E+03 -.3732E+07  .5089E+07   .9999901 -.0017102  .0041001
T   94  3 .2291504E+08   1456018E+03  .3741E+07  .8649E+06   .9999950  .0028480  .0014078
