************ Run 76_4He - theta-discrepancies > 0°.2 ***********
  Evt: 35923   theta_fit: 55.2363   theta_deg: 54.9867
  Evt: 35996   theta_fit: 47.5106   theta_deg: 46.9405
  Evt: 36130   theta_fit: 54.5587   theta_deg: 54.3123
  Evt: 36200   theta_fit: 53.8873   theta_deg: 53.6558
  Evt: 36293   theta_fit: 53.3678   theta_deg: 53.1157
  Evt: 36375   theta_fit: 56.945   theta_deg: 56.6368
  Evt: 36445   theta_fit: 50.693   theta_deg: 50.2753
  Evt: 36487   theta_fit: 53.0698   theta_deg: 52.7073
  Evt: 36694   theta_fit: 47.276   theta_deg: 47.0303
  Evt: 37007   theta_fit: 53.343   theta_deg: 53.0011
  Evt: 37395   theta_fit: 55.7439   theta_deg: 55.4455
  Evt: 37498   theta_fit: 53.6993   theta_deg: 53.323
  Evt: 37639   theta_fit: 57.271   theta_deg: 57.0107
  Evt: 38036   theta_fit: 55.3325   theta_deg: 55.0452
  Evt: 38204   theta_fit: 54.28   theta_deg: 53.8877
  Evt: 38251   theta_fit: 57.4388   theta_deg: 57.0918
  Evt: 38397   theta_fit: 47.617   theta_deg: 47.3345
  Evt: 38456   theta_fit: 55.1762   theta_deg: 54.9128
  Evt: 39031   theta_fit: 55.2534   theta_deg: 54.9134
  Evt: 39053   theta_fit: 55.9544   theta_deg: 55.6271
  Evt: 39076   theta_fit: 53.9163   theta_deg: 53.4532
  Evt: 39273   theta_fit: 176.623   theta_deg: 177.349
  Evt: 39276   theta_fit: 55.6485   theta_deg: 55.3521
  Evt: 39966   theta_fit: 56.667   theta_deg: 56.2931
  Evt: 40032   theta_fit: 54.1469   theta_deg: 53.8321
  Evt: 40152   theta_fit: 54.4222   theta_deg: 54.1527
  Evt: 40189   theta_fit: 61.5514   theta_deg: 61.2887
  Evt: 40190   theta_fit: 53.6441   theta_deg: 53.4121
  Evt: 40205   theta_fit: 56.5514   theta_deg: 56.3182
  Evt: 40278   theta_fit: 47.5589   theta_deg: 45.2076
  Evt: 40309   theta_fit: 56.416   theta_deg: 56.1786
  Evt: 40477   theta_fit: 49.1613   theta_deg: 48.8905
  Evt: 41112   theta_fit: 53.1343   theta_deg: 52.8778
  Evt: 41205   theta_fit: 52.9243   theta_deg: 52.6593
  Evt: 41300   theta_fit: 57.7822   theta_deg: 57.5635
  Evt: 41306   theta_fit: 56.4932   theta_deg: 56.1334
  Evt: 41343   theta_fit: 54.6475   theta_deg: 54.2318
  Evt: 41521   theta_fit: 51.1425   theta_deg: 50.5947
  Evt: 41760   theta_fit: 56.4378   theta_deg: 56.1718
  Evt: 41850   theta_fit: 54.5998   theta_deg: 54.1699
  Evt: 41863   theta_fit: 53.8532   theta_deg: 53.4701
  Evt: 42002   theta_fit: 51.066   theta_deg: 50.7141
  Evt: 42205   theta_fit: 55.954   theta_deg: 55.7162
  Evt: 42302   theta_fit: 54.5616   theta_deg: 54.2112
  Evt: 42342   theta_fit: 64.4512   theta_deg: 64.1467
  Evt: 42484   theta_fit: 48.1555   theta_deg: 47.8425
  Evt: 42543   theta_fit: 49.2795   theta_deg: 48.8555
  Evt: 42562   theta_fit: 53.0435   theta_deg: 52.7645
  Evt: 42647   theta_fit: 47.9112   theta_deg: 47.5944
  Evt: 42734   theta_fit: 57.2534   theta_deg: 57.0384
  Evt: 42935   theta_fit: 55.0743   theta_deg: 54.7207
  Evt: 42942   theta_fit: 55.3496   theta_deg: 54.9466
  Evt: 42970   theta_fit: 47.9599   theta_deg: 47.7504
  Evt: 43111   theta_fit: 55.5891   theta_deg: 55.2053
  Evt: 43250   theta_fit: 53.1331   theta_deg: 52.8073
  Evt: 43422   theta_fit: 53.5614   theta_deg: 53.2979
  Evt: 43452   theta_fit: 54.8705   theta_deg: 54.6277
  Evt: 43571   theta_fit: 51.5055   theta_deg: 51.1973
  Evt: 43723   theta_fit: 52.2355   theta_deg: 52.0227
  Evt: 43726   theta_fit: 51.7355   theta_deg: 51.4944
  Evt: 43760   theta_fit: 56.5817   theta_deg: 56.2897
  Evt: 44006   theta_fit: 53.1925   theta_deg: 52.9778
  Evt: 44016   theta_fit: 55.583   theta_deg: 55.1105
  Evt: 44076   theta_fit: 52.0807   theta_deg: 51.578
  Evt: 44166   theta_fit: 53.2815   theta_deg: 52.9297
  Evt: 44467   theta_fit: 54.4483   theta_deg: 54.0623
  Evt: 44575   theta_fit: 54.9676   theta_deg: 54.4984
  Evt: 44997   theta_fit: 50.8433   theta_deg: 50.5261
  Evt: 45183   theta_fit: 51.9028   theta_deg: 51.6899
  Evt: 45333   theta_fit: 57.4226   theta_deg: 57.18
  Evt: 45440   theta_fit: 54.9951   theta_deg: 54.627
  Evt: 45673   theta_fit: 65.8673   theta_deg: 65.4813
  Evt: 45751   theta_fit: 56.5164   theta_deg: 56.3009
  Evt: 45854   theta_fit: 55.3026   theta_deg: 55.0058
  Evt: 45922   theta_fit: 55.4898   theta_deg: 54.6581
  Evt: 46075   theta_fit: 54.3504   theta_deg: 53.8988
  Evt: 46077   theta_fit: 47.2922   theta_deg: 47.0162
  Evt: 46182   theta_fit: 57.2818   theta_deg: 57.0352
  Evt: 46193   theta_fit: 55.1106   theta_deg: 54.4198
  Evt: 46337   theta_fit: 49.8373   theta_deg: 49.5027
  Evt: 46384   theta_fit: 53.4027   theta_deg: 52.8906
  Evt: 46511   theta_fit: 55.0966   theta_deg: 54.7333
  Evt: 46641   theta_fit: 53.1751   theta_deg: 52.8796
  Evt: 46649   theta_fit: 52.164   theta_deg: 51.8688
  Evt: 46714   theta_fit: 52.2937   theta_deg: 51.8376
  Evt: 46919   theta_fit: 51.1067   theta_deg: 50.8419
  Evt: 46994   theta_fit: 53.1833   theta_deg: 52.8401
